Scrapping_time,Link,New_Store_ID,Store_ID_raw,Search Query,Store Name,Store Rating,Category,Website Store,Address,Longitude,Latitude,N_Reviews,N_Blog_Reviews,Booking Hub Button Name,Certificate Button,Review_position,Review_Type,Reviewer_ID,Reviewer_N_reviews,Reviewer_N_photos,Reviewer_N_followers,Review_written,# Reviews_selected,Review_selected,Review_ID,Review_Time,Nth_visit,Proof method,Rating,Visit_Day,Have_reply,Time_reply
13/02/2024-23:13:38,https://m.place.naver.com/share?id=789098991&tabsPath=%2Fmenu%2Flist&appMode=detail,1,10,세종 커피빈,미스터빈커피로스터스,4.81,"카페,디저트",,,,,109,127,,,1,Visitor Review,다정한 키쉬,2522.0,189.0,,여름 다 지나고~~팥빙수를 먹었어요. 하하하하 너무 맛있는거 아닙니꽈~~~,3.0,커피가 맛있어요,R1,,,,,,No,
13/02/2024-23:13:38,https://m.place.naver.com/share?id=789098991&tabsPath=%2Fmenu%2Flist&appMode=detail,1,10,세종 커피빈,미스터빈커피로스터스,4.81,"카페,디저트",,,,,109,127,,,2,Visitor Review,다정한 키쉬,2522.0,189.0,,"분위기도 좋고, 커피맛도 좋고~~ 사장님도 친절하십니다",3.0,친절해요,R2,23.10.23,9번째 방문,"인증 수단
영수증",,,No,
13/02/2024-23:13:38,https://m.place.naver.com/share?id=789098991&tabsPath=%2Fmenu%2Flist&appMode=detail,1,10,세종 커피빈,미스터빈커피로스터스,4.81,"카페,디저트",,,,,109,127,,,3,Visitor Review,여행가가재,381.0,320.0,31.0,사장님이 친절하세요~~ 월요일 목요일 영업시간이 2시까지로 바뀌었더라구요 참고하세용~~,3.0,음료가 맛있어요,R3,23.9.23,3번째 방문,"인증 수단
영수증",,,No,
13/02/2024-23:13:38,https://m.place.naver.com/share?id=789098991&tabsPath=%2Fmenu%2Flist&appMode=detail,1,10,세종 커피빈,미스터빈커피로스터스,4.81,"카페,디저트",,,,,109,127,,,4,Visitor Review,여행가가재,381.0,320.0,31.0,"사장님이 정말 친절하세요~~~~
커피 말고 다른 음료도 맛있어요~",3.0,커피가 맛있어요,R4,23.9.23,5번째 방문,"인증 수단
영수증",,,No,
13/02/2024-23:13:38,https://m.place.naver.com/share?id=789098991&tabsPath=%2Fmenu%2Flist&appMode=detail,1,10,세종 커피빈,미스터빈커피로스터스,4.81,"카페,디저트",,,,,109,127,,,5,Visitor Review,여행가가재,381.0,320.0,31.0,마카롱 크기가 커서 좋아요~~~,3.0,커피가 맛있어요,R5,23.9.23,4번째 방문,"인증 수단
영수증",,,No,
13/02/2024-23:13:38,https://m.place.naver.com/share?id=789098991&tabsPath=%2Fmenu%2Flist&appMode=detail,1,10,세종 커피빈,미스터빈커피로스터스,4.81,"카페,디저트",,,,,109,127,,,6,Visitor Review,10grade12,3.0,,,벌써 3년 넘게 다니는 단골커피숍인데 인증을 이제 합니다^^ 사장님 커피 정말 맛있고 매장 분위기도 조용해서 너무 좋은 곳입니다.^^ 저는 아메리카노와 바닐라 라떼를 좋아하는데 저희집 아이들은 딸기라떼 (얼음빼고)를 너무 맛있다고 좋아합니다. 선불카드 충전하면 10프로 적립해주셔서 애용하고 있습니다^^ 사장님 항상 너무 친절 하세요~~~^^,3.0,집중하기 좋아요,R6,23.7.23,2번째 방문,"인증 수단
영수증",,,No,
13/02/2024-23:13:38,https://m.place.naver.com/share?id=789098991&tabsPath=%2Fmenu%2Flist&appMode=detail,1,10,세종 커피빈,미스터빈커피로스터스,4.81,"카페,디저트",,,,,109,127,,,7,Visitor Review,you****,1.0,,,"커피를 직접 로스팅해서 그런지 맛있습니다 
동네에 이런 커피맛집이 있어서 좋습니다.",3.0,매장이 청결해요,R7,23.7.23,1번째 방문,"인증 수단
영수증",,,No,
13/02/2024-23:13:38,https://m.place.naver.com/share?id=789098991&tabsPath=%2Fmenu%2Flist&appMode=detail,1,10,세종 커피빈,미스터빈커피로스터스,4.81,"카페,디저트",,,,,109,127,,,8,Visitor Review,Khwlaw1,16.0,22.0,2.0,"수준급 드립커피를 4천원에 맛볼 수 있어요. 다양한 원두를 즐길 수 있어요. 신선한 원두의 향을 그대로 느낄 수 있습니다. 바리스타의 친절함은 덤. 모든
 종류 원두 마셔보기 자체 챌린지. ^^
내용 더보기",3.0,친절해요,R8,23.5.23,1번째 방문,"인증 수단
영수증",,,No,
13/02/2024-23:13:38,https://m.place.naver.com/share?id=789098991&tabsPath=%2Fmenu%2Flist&appMode=detail,1,10,세종 커피빈,미스터빈커피로스터스,4.81,"카페,디저트",,,,,109,127,,,9,Visitor Review,f64****,1567.0,5.0,,좋아요,3.0,특별한 메뉴가 있어요,R9,23.7.23,2번째 방문,"인증 수단
영수증",,,No,
13/02/2024-23:13:38,https://m.place.naver.com/share?id=789098991&tabsPath=%2Fmenu%2Flist&appMode=detail,1,10,세종 커피빈,미스터빈커피로스터스,4.81,"카페,디저트",,,,,109,127,,,10,Visitor Review,소리잉잉,579.0,,,굿,3.0,커피가 맛있어요,R10,23.7.23,2번째 방문,"인증 수단
영수증",,,No,
